view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,std_train_f1,mean_test_f1,std_test_f1
overhead,new_growth,2024-12-24,0.9166666666666667,0.09771699499632146,0.6666666666666667,0.11785113019775793,0.9164446246334791,0.09734478043489084,0.6422222222222222,0.1520233900132184
overhead,new_growth,2024-12-25,0.9166666666666666,0.08333333333333331,0.7,0.13944333775567927,0.9135195958725371,0.08639204875716208,0.6844444444444445,0.14753112247510844
overhead,new_growth,2024-12-26,0.8833333333333334,0.05432668671002206,0.7666666666666668,0.149071198499986,0.8797012138188609,0.05701094848752408,0.7444444444444446,0.17391639824998367
overhead,new_growth,2024-12-27,0.8666666666666666,0.061801654059130545,0.7666666666666668,0.149071198499986,0.8620118987766047,0.06575354526475352,0.7622222222222224,0.1341640786499874
overhead,new_growth,2024-12-28,0.95,0.07453559924999298,0.6666666666666666,0.2041241452319315,0.9496296296296297,0.07579482810243843,0.6266666666666666,0.23102028129662203
overhead,new_growth,2024-12-29,0.9083333333333334,0.0684653196881458,0.8,0.07453559924999302,0.9062512868395223,0.07210463232603105,0.7911111111111111,0.0695665592999935
overhead,new_growth,2024-12-30,0.925,0.0801474335902973,0.8,0.1394433377556793,0.9229136566907465,0.08433223243378533,0.7933333333333333,0.14089659985908765
overhead,new_growth,2024-12-31,0.9916666666666666,0.01863389981249823,0.6666666666666666,0.11785113019775793,0.9916339869281046,0.018706973929409988,0.6466666666666666,0.13864422895390283
overhead,old_growth,2024-12-21,0.7833333333333334,0.2091650066335189,0.5999999999999999,0.09128709291752767,0.7782672556201968,0.21502768967335248,0.5577777777777777,0.13480667456091647
overhead,old_growth,2024-12-22,0.825,0.09033118078616167,0.6333333333333333,0.18257418583505539,0.822091503267974,0.09228377149182443,0.6222222222222221,0.19293061504650377
overhead,old_growth,2024-12-23,0.975,0.055901699437494734,0.7666666666666666,0.09128709291752772,0.9749019607843138,0.056120921788230006,0.76,0.0852012867230259
overhead,old_growth,2024-12-24,0.95,0.03486083443891984,0.7333333333333334,0.25276251480171835,0.9499019607843138,0.03488047366781368,0.7288888888888889,0.2506288387532744
overhead,old_growth,2024-12-25,0.9666666666666666,0.04564354645876387,0.8666666666666668,0.13944333775567927,0.9652661064425769,0.04756134252845982,0.8622222222222223,0.14089659985908765
overhead,old_growth,2024-12-26,0.95,0.04564354645876387,0.7333333333333334,0.149071198499986,0.9499673202614378,0.045673427555929486,0.7177777777777778,0.1578403631740424
overhead,old_growth,2024-12-27,0.9416666666666667,0.055901699437494755,0.7666666666666666,0.22360679774997896,0.94130407718643,0.05619793068001483,0.7377777777777778,0.24964171857748657
overhead,old_growth,2024-12-28,0.95,0.03486083443891984,0.8333333333333334,0.11785113019775793,0.9496700902583257,0.0351607265876055,0.8266666666666668,0.11800816042090449
overhead,old_growth,2024-12-29,0.975,0.03726779962499651,0.7666666666666667,0.09128709291752772,0.9749673202614378,0.03728613528496715,0.76,0.0852012867230259
overhead,old_growth,2024-12-30,1.0,0.0,0.7666666666666667,0.190029237516523,1.0,0.0,0.7555555555555556,0.20000000000000004
overhead,old_growth,2024-12-31,0.9916666666666668,0.01863389981249823,0.7666666666666666,0.14907119849998599,0.9916339869281046,0.018706973929409985,0.72,0.19090428084368474
raw,all,2024-12-21,0.975,0.03726779962499651,0.6333333333333334,0.2173067468400883,0.9749673202614378,0.03728613528496715,0.62,0.21722151179196136
raw,all,2024-12-22,0.9,0.10458250331675946,0.6,0.25276251480171835,0.9006224712107066,0.10275273644830658,0.5955555555555555,0.259343901527025
raw,all,2024-12-23,1.0,0.0,0.9,0.14907119849998599,1.0,0.0,0.8755555555555556,0.1947457982240591
raw,all,2024-12-24,0.9833333333333334,0.0228217732293819,0.8666666666666668,0.07453559924999298,0.9832679738562092,0.022911270379301043,0.857777777777778,0.07950463919999248
raw,all,2024-12-25,0.95,0.05432668671002208,0.8666666666666668,0.07453559924999298,0.9487918388227985,0.05610133028555255,0.857777777777778,0.07950463919999248
raw,all,2024-12-26,0.975,0.0228217732293819,0.9666666666666668,0.07453559924999298,0.9749019607843138,0.022911270379301043,0.9644444444444445,0.0795046391999925
raw,all,2024-12-27,1.0,0.0,0.9666666666666668,0.07453559924999298,1.0,0.0,0.9644444444444445,0.07950463919999248
raw,all,2024-12-28,0.9666666666666668,0.01863389981249823,0.9333333333333333,0.09128709291752767,0.9665359477124185,0.018706973929409988,0.928888888888889,0.09737289911202948
raw,all,2024-12-29,0.9666666666666668,0.01863389981249823,0.9666666666666668,0.07453559924999298,0.9665359477124185,0.018706973929409988,0.9644444444444445,0.0795046391999925
raw,all,2024-12-30,0.9916666666666668,0.01863389981249823,0.9,0.09128709291752767,0.9916339869281046,0.018706973929409988,0.8933333333333333,0.09737289911202948
raw,all,2024-12-31,0.9833333333333332,0.03726779962499651,0.9,0.09128709291752767,0.9826330532212886,0.03883367355881989,0.8933333333333333,0.09737289911202948
raw,plug,2024-12-21,0.8333333333333334,0.15309310892394867,0.6333333333333333,0.07453559924999298,0.8298775533605255,0.15764125362461767,0.5977777777777777,0.09242948596926856
raw,plug,2024-12-22,0.7583333333333334,0.05432668671002206,0.6333333333333333,0.13944333775567927,0.7479737599861439,0.06233414742319894,0.6355555555555555,0.12382783747337808
raw,plug,2024-12-23,0.9083333333333332,0.0950146187582615,0.7333333333333333,0.09128709291752772,0.9037863008451243,0.10127386691704794,0.7,0.12322818340454914
raw,plug,2024-12-24,0.85,0.10458250331675942,0.7333333333333333,0.09128709291752773,0.844693432928727,0.10920765559331294,0.7266666666666667,0.08734775114237137
raw,plug,2024-12-25,0.8666666666666666,0.11180339887498947,0.7,0.07453559924999302,0.8638032990974167,0.11505006266737614,0.6955555555555555,0.07097208632298366
raw,plug,2024-12-26,0.9333333333333333,0.08640183897219886,0.7,0.07453559924999302,0.9323902894491131,0.08825945109220687,0.6955555555555555,0.07097208632298366
raw,plug,2024-12-27,0.9083333333333334,0.07453559924999298,0.6666666666666666,0.0,0.9077124183006537,0.07525591067202682,0.6644444444444444,0.004969039949999515
raw,plug,2024-12-28,0.9333333333333333,0.09128709291752765,0.6,0.09128709291752767,0.9327450980392158,0.09209843788397809,0.5844444444444445,0.10761155566936224
raw,plug,2024-12-29,0.8916666666666666,0.10458250331675946,0.7,0.2173067468400883,0.8889698101462807,0.10772031641945944,0.6777777777777778,0.23934065809486688
raw,plug,2024-12-30,0.9166666666666666,0.07795119555779044,0.6333333333333333,0.13944333775567927,0.9159803921568628,0.07841881026846535,0.6155555555555556,0.15104573749303496
raw,plug,2024-12-31,0.95,0.07453559924999298,0.7,0.2173067468400883,0.9485994397759103,0.07729075062572628,0.6822222222222223,0.23142073276946382
raw,all_plug,2024-12-21,0.8083333333333333,0.07569125885243727,0.6666666666666667,0.20412414523193154,0.8057927710404492,0.08175264649056915,0.6266666666666667,0.22588645678310312
raw,all_plug,2024-12-22,0.9166666666666666,0.12147816447594374,0.7,0.2173067468400883,0.917004357298475,0.12146712219737027,0.6888888888888889,0.22402050170728838
